,qpaint_count,n
0,0.838826771,1
1,1.260854618,1
2,1.272294137,1
3,0.810516722,1
4,1.063245765,1
5,0.8621079,1
6,1.184194173,1
7,1.075092731,1
8,1.025541621,1
9,0.857800311,1
10,1.722600749,2
11,1.522999928,2
12,1.752804995,2
13,2.086461924,2
14,2.226398701,2
15,2.227881782,2
16,1.903986486,2
17,1.575662157,2
18,2.048228503,2
19,1.904652948,2
20,2.797971628,3
21,3.175035132,3
22,2.892114315,3
23,3.19233363,3
24,2.908497309,3
25,3.268523253,3
26,2.925186027,3
27,3.04230004,3
28,3.163894494,3
29,3.336002911,3
30,3.922538406,4
31,3.904163425,4
32,3.492798607,4
33,3.838525601,4
34,3.704563756,4
35,4.142225795,4
36,3.515027153,4
37,3.782092156,4
38,3.480120786,4
39,4.61503831,4
40,4.320264649,5
41,4.815912446,5
42,4.112403882,5
43,4.960815681,5
44,4.851417644,5
45,4.140038631,5
46,4.727885451,5
47,4.56149621,5
48,4.574257829,5
49,4.029843644,5
50,5.169527814,6
51,5.673768233,6
52,5.25607776,6
53,7.081618121,6
54,5.715181434,6
55,5.767330933,6
56,5.878306952,6
57,5.944228468,6
58,5.654472518,6
59,5.722947146,6
60,7.118604358,7
61,6.852418267,7
62,7.366128143,7
63,6.694810114,7
64,6.352487618,7
65,7.041254508,7
66,7.970239565,7
67,6.762481483,7
68,6.26226628,7
69,8.004365563,7
70,6.323696498,8
71,7.608587041,8
72,7.482411482,8
73,7.855985369,8
74,6.727298258,8
75,7.570243241,8
76,7.704387418,8
77,6.71943226,8
78,7.983550135,8
79,7.888508256,8
80,8.614281314,9
81,8.122359245,9
82,7.766514139,9
83,9.266588412,9
84,9.365664731,9
85,7.415246294,9
86,9.430939099,9
87,8.342038062,9
88,9.040744526,9
89,8.924957104,9
90,10.14662786,10
91,8.077867651,10
92,10.28268871,10
93,10.15699855,10
94,9.667953454,10
95,8.64418901,10
96,8.571342221,10
97,9.658176378,10
98,10.00978607,10
99,9.033444456,10
100,10.73718941,11
101,10.6107055,11
102,9.420150641,11
103,11.06116197,11
104,10.63578436,11
105,10.0692027,11
106,10.28650654,11
107,10.01648051,11
108,10.36342619,11
109,10.44711543,11
110,11.44587767,12
111,11.75068417,12
112,9.845957789,12
113,11.13474889,12
114,11.46898007,12
115,12.89518177,12
116,12.3462618,12
117,11.21469348,12
118,11.0333834,12
119,11.77130491,12
120,11.57022833,13
121,12.84604006,13
122,13.44276608,13
123,14.22239846,13
124,11.58104729,13
125,12.05351555,13
126,12.05495996,13
127,12.43541435,13
128,11.6119819,13
129,13.37620213,13
130,13.51282011,14
131,13.1078479,14
132,13.47128403,14
133,13.53517559,14
134,12.37085356,14
135,11.94066951,14
136,13.7232771,14
137,13.96572405,14
138,13.16515114,14
139,12.31858594,14
140,13.92422512,15
141,14.90061092,15
142,14.57352364,15
143,14.43837033,15
144,12.26766647,15
145,15.05550808,15
146,15.79813497,15
147,13.60297264,15
148,15.81840614,15
149,12.60112434,15
150,15.32371885,16
151,14.56622832,16
152,15.23898836,16
153,15.47398009,16
154,14.73713827,16
155,13.91323438,16
156,15.09532653,16
157,13.18662693,16
158,16.12701814,16
159,15.33776428,16
160,17.56616716,17
161,16.11789561,17
162,13.57936931,17
163,15.89486393,17
164,16.04901332,17
165,15.65252348,17
166,15.90955577,17
167,16.43070728,17
168,16.79668665,17
169,15.46374469,17
170,16.87257188,18
171,16.5664223,18
172,17.94246337,18
173,16.95296849,18
174,16.5717853,18
175,14.6834288,18
176,16.89334309,18
177,15.93781912,18
178,16.71914025,18
179,17.88203225,18
180,14.87232775,19
181,17.68402523,19
182,17.96628886,19
183,17.08870597,19
184,17.51022769,19
185,17.70833971,19
186,16.50816269,19
187,15.3153414,19
188,16.57421345,19
189,16.3732962,19
190,18.21121346,20
191,20.33165362,20
192,17.58658813,20
193,19.69131257,20
194,17.28274604,20
195,15.46366897,20
196,17.2395215,20
197,17.92871384,20
198,17.09791589,20
199,16.95557363,20
200,17.89503233,21
201,20.31862907,21
202,17.49949712,21
203,17.83745654,21
204,17.32962985,21
205,18.42727883,21
206,16.93759184,21
207,20.79731137,21
208,18.15582325,21
209,19.73861974,21
210,20.85254207,22
211,19.87072053,22
212,20.42893081,22
213,17.49438492,22
214,20.69692412,22
215,18.60052718,22
216,17.97280975,22
217,19.77238459,22
218,18.33641852,22
219,19.68385666,22
220,20.96251655,23
221,21.05678946,23
222,21.73477964,23
223,19.33115567,23
224,18.95514158,23
225,20.28640667,23
226,19.38894196,23
227,21.08266577,23
228,21.9331183,23
229,22.03670656,23
230,19.7054115,24
231,23.33899674,24
232,21.00428853,24
233,19.36602068,24
234,20.34017895,24
235,20.67492932,24
236,20.54201333,24
237,19.84478785,24
238,21.61182647,24
239,22.61932875,24
240,23.24884976,25
241,22.85282345,25
242,22.02826105,25
243,25.72264931,25
244,20.46021552,25
245,22.93868713,25
246,24.3339113,25
247,24.05500722,25
248,25.847418,25
249,22.02854412,25
250,22.89831716,26
251,23.31328334,26
252,22.58829455,26
253,21.98637789,26
254,23.59901167,26
255,23.33084084,26
256,21.71047259,26
257,24.02401639,26
258,23.191955,26
259,23.07221366,26
260,24.10340235,27
261,22.58930081,27
262,21.64996002,27
263,19.78506733,27
264,23.22915294,27
265,22.57770898,27
266,24.67799833,27
267,24.18297382,27
268,23.63225735,27
269,23.15112841,27
270,24.40147382,28
271,24.30721874,28
272,25.10964293,28
273,24.10651931,28
274,26.21743451,28
275,26.92930975,28
276,23.54226623,28
277,22.13430075,28
278,24.04464086,28
279,23.99398282,28
280,24.52938911,29
281,25.80408889,29
282,24.69838781,29
283,26.63366687,29
284,22.75436685,29
285,27.28930225,29
286,25.25997903,29
287,22.3756672,29
288,22.90242199,29
289,25.27347425,29
290,26.61378738,30
291,27.74079342,30
292,24.94662163,30
293,29.43029396,30
294,23.75957287,30
295,23.34888799,30
296,25.30874397,30
297,26.52642206,30
298,26.05379773,30
299,26.43871446,30