,lbfcs_count,n
0,0.97407997,1
1,1.0000685,1
2,1.0049597,1
3,1.0132079,1
4,0.9763656,1
5,0.99763757,1
6,0.9769466,1
7,1.0065264,1
8,1.0024977,1
9,1.0139805,1
10,1.960922,2
11,2.0676723,2
12,2.0099053,2
13,2.181558,2
14,1.8638762,2
15,2.0039122,2
16,1.8869835,2
17,1.9149774,2
18,1.9341125,2
19,1.9656091,2
20,2.8537195,3
21,3.0105824,3
22,3.0125284,3
23,2.9415724,3
24,3.0856564,3
25,2.5406578,3
26,2.7262664,3
27,2.8635194,3
28,3.0888183,3
29,2.8150797,3
30,4.2662897,4
31,4.037943,4
32,3.9497688,4
33,3.6382773,4
34,3.8325846,4
35,3.7350938,4
36,4.9143767,4
37,3.9498854,4
38,4.2631416,4
39,4.0088115,4
40,4.7660103,5
41,4.850672,5
42,5.0973024,5
43,4.9753127,5
44,5.0378838,5
45,4.8155923,5
46,5.160675,5
47,4.7702208,5
48,5.3822045,5
49,5.1096087,5
50,1.3579112,6
51,6.1652164,6
52,5.7930117,6
53,5.668462,6
54,6.076924,6
55,6.0192795,6
56,1.349419,6
57,6.1821537,6
58,6.2588925,6
59,7.007153,6
60,7.7043114,7
61,1.5389931,7
62,6.3148694,7
63,1.5442674,7
64,5.508328,7
65,2.705089,7
66,7.313094,7
67,1.4972317,7
68,7.4884334,7
69,1.4982297,7
70,1.3471354,8
71,1.2925136,8
72,2.9748712,8
73,7.7270913,8
74,8.032985,8
75,1.6835237,8
76,2.8906276,8
77,8.872608,8
78,1.6709642,8
79,2.8609333,8
80,1.5124782,9
81,3.1811357,9
82,1.5425191,9
83,1.4161,9
84,1.4945601,9
85,1.4788399,9
86,1.4910513,9
87,1.5085515,9
88,1.4318218,9
89,1.5116844,9
90,1.6545364,10
91,1.5986555,10
92,1.2160456,10
93,1.694794,10
94,1.601395,10
95,1.5702609,10
96,1.6386145,10
97,1.5554721,10
98,1.6244986,10
99,1.2144576,10
100,1.281514,11
101,1.3641027,11
102,1.8003825,11
103,1.2868837,11
104,1.3007741,11
105,1.7477595,11
106,1.3116506,11
107,1.1902959,11
108,1.3316252,11
109,1.230807,11
110,1.4427024,12
111,1.9682745,12
112,1.4423668,12
113,1.4430274,12
114,1.2052338,12
115,1.2475455,12
116,1.2338382,12
117,1.5021325,12
118,1.2579191,12
119,1.2220036,12
120,1.4085879,13
121,1.34042,13
122,1.2930417,13
123,1.2725629,13
124,1.6277428,13
125,1.3012302,13
126,1.5321987,13
127,1.1260754,13
128,1.317815,13
129,1.1611693,13
130,1.4715384,14
131,1.1597683,14
132,1.1879245,14
133,1.3586394,14
134,1.686519,14
135,1.1626146,14
136,1.1166172,14
137,1.5119219,14
138,1.1687305,14
139,1.2909329,14
140,1.3110658,15
141,1.4794565,15
142,1.2865556,15
143,1.1464249,15
144,1.1668147,15
145,1.132161,15
146,1.2722515,15
147,1.4653839,15
148,1.2766922,15
149,1.4868995,15
150,1.2064385,16
151,1.2226356,16
152,1.2415634,16
153,1.3655235,16
154,1.2337672,16
155,1.1927277,16
156,1.4297389,16
157,1.1965182,16
158,1.1883291,16
159,1.3556366,16
160,1.254483,17
161,1.2783806,17
162,1.2387221,17
163,1.2766591,17
164,1.282185,17
165,1.2669506,17
166,1.2299371,17
167,1.2687572,17
168,1.2617536,17
169,1.5219434,17
170,1.476294,18
171,1.282639,18
172,1.4002734,18
173,1.3249955,18
174,1.3253742,18
175,1.3662637,18
176,1.3127906,18
177,1.3621211,18
178,1.3443823,18
179,1.2889167,18
180,1.2820046,19
181,1.3887838,19
182,1.4166214,19
183,1.3801111,19
184,1.478159,19
185,1.4699173,19
186,1.380375,19
187,1.3986709,19
188,1.4015803,19
189,1.3649658,19
190,1.373835,20
191,1.3165915,20
192,1.4444325,20
193,1.5056404,20
194,1.3461401,20
195,1.3657812,20
196,1.3152281,20
197,1.3922583,20
198,1.3596032,20
199,1.5188676,20
200,1.4001853,21
201,1.4433329,21
202,1.3911059,21
203,1.5330906,21
204,1.4348803,21
205,1.4463295,21
206,1.4317412,21
207,1.3985,21
208,1.3549428,21
209,1.4471687,21
210,1.475886,22
211,1.4584111,22
212,1.4771237,22
213,1.4410323,22
214,1.4860291,22
215,1.4720143,22
216,1.4989952,22
217,1.4883889,22
218,1.4575111,22
219,1.4984208,22
220,1.5277807,23
221,1.544895,23
222,1.6484385,23
223,1.5592518,23
224,1.714958,23
225,1.5874715,23
226,1.5260154,23
227,1.5358558,23
228,1.5671406,23
229,1.5476122,23
230,1.5925628,24
231,1.6066984,24
232,1.6988751,24
233,1.7023946,24
234,1.6188681,24
235,1.623933,24
236,1.5555658,24
237,1.7815764,24
238,1.837982,24
239,1.5843731,24
240,1.8178444,25
241,1.6763302,25
242,1.6507789,25
243,1.7027335,25
244,1.6357418,25
245,1.6470557,25
246,1.6837475,25
247,1.9329265,25
248,1.6592822,25
249,1.6826812,25
250,1.730842,26
251,1.7910184,26
252,1.7102302,26
253,0.0,26
254,1.7185216,26
255,1.7210946,26
256,1.6849105,26
257,0.0,26
258,1.7544639,26
259,1.7420979,26
260,1.8172585,27
261,0.0,27
262,1.8745705,27
263,1.9746225,27
264,1.8387314,27
265,0.0,27
266,0.0,27
267,1.9948123,27
268,1.7923236,27
269,0.0,27
270,0.0,28
271,0.0,28
272,1.9025,28
273,0.0,28
274,0.0,28
275,0.0,28
276,2.3996863,28
277,1.8311645,28
278,2.051235,28
279,0.0,28
280,0.0,29
281,0.0,29
282,0.0,29
283,1.9504815,29
284,0.0,29
285,0.0,29
286,0.0,29
287,0.0,29
288,0.0,29
289,2.174394,29
290,0.0,30
291,0.0,30
292,0.0,30
293,0.0,30
294,0.0,30
295,0.0,30
296,0.0,30
297,0.0,30
298,0.0,30
299,0.0,30
